Case Status,Legislation,ICOCaseRef,Received Date,Received Year,Received FY,Received Qtr,Received FY Month,Completed Date,Completed Year,Completed FY,Completed Qtr,FY Completed Month,Sector,SubSector,Submitted About Account,Decision,DecisionDetail1,DecisionDetail2,ISCyberIncident
Completed,GDPR,IC-353250-J6B5,30/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Land or property services,Property management,Anon DC,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353279-X6G1,31/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Legal,Legal professionals,Bellevue Law Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-352613-S9W4,20/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Retail and manufacture,Supplier of services,Boehringer Ingelheim Animal Health UK Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353269-R0C9,30/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Ceredigion County Council,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353254-Z7R5,30/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Retail and manufacture,Supplier of services,Clarity Housekeeping Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353231-Y0H8,24/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Health,Dentists,Clover Practice Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353282-G7D5,31/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Health,Dentists,Community Dental Services CIC,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353297-G4S4,31/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Health,Secondary care,Dartford and Gravesham NHS Trust,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353233-L4J5,24/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Retail and manufacture,Supplier of goods,EMC Trading Group Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353219-Y5Y2,24/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Charitable and voluntary,National charities,Freedom From Torture,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-353306-Q2C7,31/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Health,General Practitioner,Grimethorpe Surgery,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353298-C7N7,31/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Health,Secondary care,Herefordshire and Worcestershire Health and Care NHS Trust,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353239-V9W5,27/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Social care,Residential care,Keys PCE Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353275-Z5M0,31/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Local government,District Council,Mole Valley District Council,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353276-Q6K4,31/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Social care,Residential care,New Directions (Rugby) Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353213-L6D7,24/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Health,Public health,NHS Tayside,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353242-W3S6,27/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Charitable and voluntary,National charities,Royal Mencap Society,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-348538-P8H4,04/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Central Government,Government Department,Secretary of State for the Home Department (Home Office),Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353229-S9N6,24/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Sheffield City Council,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353273-L8B5,31/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Transport and leisure,Entertainment providers,The Arsenal Football Club Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353221-V4F8,24/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Health,General Practitioner,The Nevells Road Surgery,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353313-Z6Z1,31/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Health,General Practitioner,The Panton Practice,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353278-G3N7,31/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Health,Secondary care,United Lincolnshire Hospitals NHS Trust,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353265-J5S7,30/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",West Berkshire District Council,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-349176-S6G8,05/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Charitable and voluntary,Local charities,Elim Foursquare Gospel Alliance,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-353253-D3S3,27/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,"Finance, insurance and credit",Insurance,Inspop.com Limited (Confused.com),No Further Action,Not PDB,Unassigned,No
Completed,GDPR,IC-349339-Z2W3,09/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Education and childcare,Further education,Newham Sixth Form College,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-315400-B8W7,23/06/2024,2024,2024/25,Q1,03-Jun,03/01/2025,2025,2024/25,Q4,10-Jan,"Finance, insurance and credit",Unassigned,Acorn Insurance & Financial Services Limited ,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
