Case Status,Legislation,ICOCaseRef,Received Datetime,Received Year,Received FY,Received Qtr,Received FY Month,Completed Date,Completed Year,Completed FY,Completed Qtr,FY Completed Month,Completed Financial Week,Sector,SubSector,Submitted About Account,Decision,DecisionDetail1,DecisionDetail2,ISCyberIncident
Completed,GDPR,IC-316312-M5C8,27/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Health,General Practitioner,Anon DC,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316329-R8J3,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Health,Healthcare and pharmaceuticals,Anon DC,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-316333-X6R0,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Charitable and voluntary,Local charities,Battersea Dogs & Cats Home,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-315694-M3S6,24/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Membership association,Clubs,Bilston Swimming Club,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-316607-P9M4,01/07/2024,2024,2024/25,Q2,04-Jul,01/07/2024,2024,2024/25,Q2,04-Jul,14,Membership association,Clubs,British Eventing,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316534-D4G4,29/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Maintained schools,Carr Hill High School ,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316295-W2Y8,27/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,"Finance, insurance and credit",Financial services and advice,Caxton Payments Ltd,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-310155-B9P5,30/05/2024,2024,2024/25,Q1,02-May,01/07/2024,2024,2024/25,Q2,04-Jul,14,"Finance, insurance and credit",Insolvency Practitioners,CG Recovery Limited,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-316591-J5D4,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Health,Secondary care,Chiltern Support & Housing Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316454-H1Y5,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Retail and manufacture,Supplier of goods,Credenhill Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316339-M1H1,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Social care,Domiciliary care,Deafway,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-301202-H1V0,15/04/2024,2024,2024/25,Q1,01-Apr,01/07/2024,2024,2024/25,Q2,04-Jul,14,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Derby City Council,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316359-S4T9,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Health,Pharmacist,DialAChemist Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316584-Z9S9,29/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Transport and leisure,Accommodation providers,Ennismore International Management Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-316446-Z2C8,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,General business,Unassigned,Fulham Football Club Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-315379-V5X9,24/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Academy and Free Schools,Gordon's School,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316360-F3W2,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,"Finance, insurance and credit",Financial services and advice,Isio Group Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-316367-M3T3,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,"Finance, insurance and credit",Financial services and advice,Isio Services Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-316379-Q2M6,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,"Finance, insurance and credit",Financial services and advice,Isio Total Reward & Benefits Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-316376-Q5G6,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,"Finance, insurance and credit",Financial services and advice,Isio Wealth Planning Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-316084-J1Y4,26/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Charitable and voluntary,Local charities,Kingston Voluntary Action,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316375-P3Z5,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Legal,Legal professionals,Lamb Brooks LLP,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316392-X4V2,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",London Borough of Enfield,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316457-R7N8,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",London Borough of Hounslow,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-315790-N6J5,26/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Health,Healthcare and pharmaceuticals,Medical Consultant Services Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
